,Name,Price,Seller,Cities,Product sold,Product rating
0,Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,Rp39.000,Lidigeli,Kab. Garut,30+ terjual,4.6
1,Kylafood Seblak Cup,Rp11.000,Kylafood Jakarta,Jakarta Selatan,60+ terjual,4.9
2,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,Tangerang Selatan,1rb+ terjual,4.9
3,SEBLAK INSTAN MOMMY,Rp13.500,Rav Jaya Display,Kab. Tangerang,1rb+ terjual,4.8
4,Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,Rp6.000,Djuragan Kerupuk,Surabaya,80+ terjual,5.0
5,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,Rp40.000,Naturally Plus Jakarta,Kab. Tangerang,100+ terjual,5.0
6,seblak frozen,Rp10.400,pelangi girls naget,Jakarta Timur,2rb+ terjual,4.9
7,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2rb+ terjual,4.8
8,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,Rp9.916,vieka mart official,Tangerang Selatan,500+ terjual,5.0
12,SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
13,seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,Jakarta Barat,750+ terjual,4.8
14,"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",Rp18.000,global cookware1,Jakarta Barat,1rb+ terjual,4.8
15,"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,Tangerang Selatan,250+ terjual,4.8
16,"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
17,KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,Rp16.000,AyundaSnack,Bandung,30+ terjual,4.9
18,"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",Rp8.000,global cookware1,Jakarta Barat,500+ terjual,4.9
19,KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,Jakarta Barat,10 terjual,5.0
21,Kerupuk Seblak Rafael 100g / Sebring / Kerupuk Mawar Pedas Daun Jeruk ,Rp9.999,vieka mart official,Tangerang Selatan,15 terjual,5.0
23,Krupuk seblak mawar rafael pedas 500gr,Rp20.000,Markas Makaroni,Kab. Bekasi,100+ terjual,4.9
24,Krupuk seblak mawar rafael pedas 250gram,Rp12.500,Markas Makaroni,Kab. Bekasi,80+ terjual,4.6
32,Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,Kab. Garut,2rb+ terjual,4.9
33,KERUPUK JABLAY/KERUPUK SEBLAK RASA PEDAS BERAT 250 GRAM,Rp11.500,aurel prima snack,Jakarta Barat,6 terjual,4.5
35,Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll - Putih,Rp11.000,Distributor-Jaya,Tangerang,100+ terjual,4.9
36,Kerupuk seblak pedas mawar daun jeruk (kerupuk rafael) 450gr,Rp17.000,snackmartbdg,Kab. Subang,,
37,Seblak Tulang Rangu Nyai Mercon,Rp21.000,Jajanan Hits (JS),Tangerang Selatan,25 terjual,5.0
38,"KERUPUK BAWANG ANEKA WARNA KRUPUK SEBLAK MENTAH WARNA WARNI - Mawar Warna, 500 gram",Rp12.500,BociKakang,Jakarta Selatan,250+ terjual,4.8
39,"KERUPUK SEBLAK MENTAH ANEKA WARNA - Mawar Warna, 500 gram",Rp11.500,jajanangarut19,Jakarta Selatan,250+ terjual,4.9
41,Kerupuk merah 1Kg mentah untuk nasi uduk bubur ayam bahan seblak murah,Rp24.000,Bosmart99,Jakarta Selatan,250+ terjual,4.9
42,Bumbu Seblak 200 g Dengan Kerupuk,Rp34.980,MSH Rempah,Jakarta Selatan,70+ terjual,5.0
43,KERUPUK SEBLAK SAMBAL KRUPUK KERITING KECIL Mentah Krupuk,Rp7.900,Iguazabest777,Kab. Tangerang,40+ terjual,5.0
44,KERUPUK SEBLAK JABLAY 250 GRAM,Rp17.325,TOKO KUE MEISYA,Jakarta Pusat,250+ terjual,4.9
70,Airafood Seblak Jadul Instant,Rp17.500,airafoodofficial,Bandung,,
71,Seblak Instan Sehati,Rp13.000,Official Kartika Sari,Bandung,500+ terjual,5.0
72,Seblak kering pedas daun jeruk 1/2 kg,Rp30.000,maherashop,Bandung,,
73,Seblak Sultan instant,Rp14.000,Sultan Meat Shop,Medan,250+ terjual,4.8
74,Seblak Koin,Rp17.500,Official Kartika Sari,Bandung,250+ terjual,5.0
75,KERUPUK JABLAY SEBLAK PELANGI 500 GRAM,Rp23.275,G Cakery,Jakarta Pusat,30+ terjual,5.0
76,KERUPUK KRUPUK SEBLAK SEBRING PEDAS TERLARIS PER 250 GRAM,Rp21.150,Golden Cakery,Jakarta Pusat,100+ terjual,4.8
77,Kerupuk Seblak Pedas Gurih Kencur 250 Gram - Tam Snack,Rp14.000,TAM SNACK,Depok,100+ terjual,4.8
78,"Seblak Siomay Kering 2in1 ""Tsaqil"" 80gr - Pedas Lvl 5 ",Rp14.700,ngemilogi,Jakarta Barat,23 terjual,5.0
79,KERUPUK KRUPUK SEBLAK JABLAY PELANGI PEDAS TERLARIS PER 500 GRAM,Rp23.750,Golden Cakery,Jakarta Pusat,100+ terjual,4.8
105,BUNDLING COMBO NGEMIL Seblak Nyemex (Seblak Instan X Makaroni / Makron,Rp27.999,Seblak Nyemex,Bandung,4 terjual,5.0
106,Kerupuk Seblak Kencur Pedas 50gr ANABA,Rp2.881,Siaga Lapak,Malang,6 terjual,
107,Seblak Nyemex MIE Seblak Instant Bandung,Rp14.999,Seblak Nyemex,Bandung,7 terjual,5.0
108,Snack Seblak jeletot 150 gr,Rp14.000,Asinan Maputri,Tangerang,11 terjual,4.9
109,BUNDLING DUO Seblak Nyemex (Original-Extra Seuhah),Rp27.999,Seblak Nyemex,Bandung,7 terjual,5.0
110,cemilan SEBLAK KARI PEDAS 65gr,Rp4.500,oke snack,Jakarta Selatan,100+ terjual,4.8
111,"Toping Baso aci/Seblak, Siomay segitiga/Cipet/Siomay Kuncup",Rp6.000,sansay327,Tangerang Selatan,40+ terjual,5.0
112,Kerupuk Seblak Pedas Mini,Rp18.000,Snackzone PP,Jakarta Pusat,28 terjual,5.0
113,Cuanki Lidah Kerupuk Cuanky Topping Baso Aci Seblak isi 150 Pcs,Rp33.000,Kerabat Official Store,Kab. Tasikmalaya,100+ terjual,4.9
114,Kerupuk seblak/bawang /500 gr,Rp13.000,fanyshop1,Jakarta Selatan,60+ terjual,4.9
140,Bundle 3pcs - Baso Aci Tulang Rangu Basranger 200gr Makanan Instan,Rp65.100,Rak Sebelah,Jakarta Pusat,100+ terjual,4.9
141,Paket Isi 4 Cuanki Instan Lakoca Original dan Lakoca Xtra Pedas,Rp64.906,Lakoca Official Shop,Cimahi,70+ terjual,4.9
142,KRIPIK BASRENG STICK CIKRUH / KERIPIK BAKSO GORENG STIK ORIGINAL  - 100 gr,Rp6.600,TOKO SNACK JAKARTA HENDI,Jakarta Timur,1rb+ terjual,4.9
143,Omiyago Snack Kerupuk Seblak,Rp6.020,omiyago,Jakarta Barat,30+ terjual,4.8
144,Cuanki Kriboow bundling 5pcs,Rp63.500,Khay N khai,Bekasi,100+ terjual,5.0
145,kerupuk seblak mentah orange 250gr,Rp11.500,BuyungBumbu,Jakarta Pusat,60+ terjual,4.9
146,Seblak instan,Rp11.000,Ghery Durian Shop,Jakarta Timur,90+ terjual,4.9
147,Sabring kerupuk seblak jablay pedas Jumbo,Rp14.000,RIKI STORE 97,Kab. Bogor,20 terjual,4.8
148,kerupuk seblak mentah kerupuk bawang 250gr,Rp11.900,BuyungBumbu,Jakarta Pusat,70+ terjual,4.8
149,kerupuk seblak kering pedas 500 gr hot spicy keripik enak,Rp22.000,JAGO TOK PETOK,Surabaya,100+ terjual,4.9
180,SEBLAK GEPREK SAMIRAOS / SEBLAK MIE / SEBLAK SOUN / SEBLAK INSTAN,Rp17.850,TOBELO SHOP,Tangerang,100+ terjual,4.8
181,Kylafood Mix Pentol Kuah dan Seblak Original,Rp50.000,kylafood,Bandung,10 terjual,5.0
182,Kerupuk Sari  Udang Mentah 250gr/Kerupuk Seblak,Rp5.500,Sin Nana,Semarang,4 terjual,5.0
183,kerupuk seblak kering kecil / kerupuk seblak pedas,Rp5.000,Tasya chocolate,Tangerang Selatan,14 terjual,
184,SIOMAY MINI KERING 250 GRAM BASO ACI/BOCI/SEBLAK/CUANKI/CUANKIE,Rp9.999,ArfaOnlineShop,Tangerang,80+ terjual,4.9
210,SEBLAK MIE 10 PCS PAKET HEMAT MAKANAN INSTAN food pedas,Rp44.999,gudangsnacktgr19,Kab. Tangerang,,
211,Cireng Bumbu Rujak - Rujak Cireng Utami Isi 20,Rp9.999,Pengisi Perut,Kab. Bekasi,4rb+ terjual,4.6
212,Seblak Bandung Frozen 140gr,Rp18.600,Freezy Fresh,Jakarta Pusat,100+ terjual,4.7
213,cireng rujak brecxelle | Cireng Bumbu Rujak | Frozen Food,Rp14.935,Ayesha Frozen Food_,Jakarta Selatan,60+ terjual,5.0
214,keripik seblak pedas putih,Rp18.000,Snack Zone Official,Jakarta Selatan,70+ terjual,4.9
215,kerupuk seblak bantat kriwil syahrini 250gr oleh oleh bandung,Rp19.000,SIMANALAGI-KOSAMBI-BANDUNG,Bandung,100+ terjual,4.9
216,kerupuk bawang spesial seblak nasi uduk 1/2kg 500gr grosir murah,Rp10.000,Ekosistem Halal,Depok,30+ terjual,4.7
217,Seblak MOMMY Cemilan yang Luar Biasa,Rp11.400,ErJu,Bandung,10rb+ terjual,4.7
218,kerupuk seblak kering enak gurih,Rp5.000,RIKI STORE 97,Kab. Bogor,250+ terjual,4.8
219,KERUPUK SEBLAK SEBRING PEDAS KILOAN,Rp84.550,Golden Cakery,Jakarta Pusat,26 terjual,5.0
245,Seblak Kering Pedas mbakWell Rasa Mantap Bikin NAGIH,Rp315.000,Welly Mart,Tangerang Selatan,,
246,cuanki lidah aci 10 pcs murah toping seblak baso aci,Rp3.500,CuankiCulametan,Kab. Garut,70+ terjual,5.0
247,cuanki instan sehot,Rp9.000,cemilan Bandungstore,Cimahi,250+ terjual,4.9
248,Cuanki Pangsit kering Segitiga Cipet isi 100 toping seblak baso aci,Rp31.000,CuankiCulametan,Kab. Garut,40+ terjual,4.6
249,SEBLAK KICIMPRING MANG MUSS,Rp9.999,Seblak Mang Muss,Tasikmalaya,750+ terjual,4.8
250,Cabe bubuk special baso aci & seblak,Rp11.999,aghniya,Tangerang Selatan,250+ terjual,4.9
251,Cemilan Kerupuk Seblak Pedas Cemilan Imon 100Gr,Rp15.000,Moenero,Kab. Tangerang,13 terjual,5.0
252,SEBLAK MELET AQILLAH FROZEN,Rp6.500,Lapak Al Fattah Malang,Malang,17 terjual,5.0
