,Name,Price,Seller,Cities,Product sold,Product rating
0,Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,39.0,Lidigeli,Kab. Garut,30,4.6
1,Kylafood Seblak Cup,11.0,Kylafood Jakarta,Jakarta Selatan,60,4.9
2,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15.0,Central Seblak Nusantara,Tangerang Selatan,1000,4.9
3,SEBLAK INSTAN MOMMY,13.5,Rav Jaya Display,Kab. Tangerang,1000,4.8
4,Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,6.0,Djuragan Kerupuk,Surabaya,80,5.0
5,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40.0,Naturally Plus Jakarta,Kab. Tangerang,100,5.0
6,seblak frozen,10.4,pelangi girls naget,Jakarta Timur,2000,4.9
7,Seblak Instan Pedas Home Made,3.5,the Dhecip,Tangerang Selatan,2000,4.8
8,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9.916,vieka mart official,Tangerang Selatan,500,5.0
9,SEBLAK INSTANT TERMURAH,3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8
10,seblak instant sajodo snak,19.0,hikmah berkah jaya,Jakarta Barat,750,4.8
11,"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",18.0,global cookware1,Jakarta Barat,1000,4.8
12,"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",9.999,aghniya,Tangerang Selatan,250,4.8
13,"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14.999,aghniya,Tangerang Selatan,750,4.9
14,KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,16.0,AyundaSnack,Bandung,30,4.9
15,"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",8.0,global cookware1,Jakarta Barat,500,4.9
16,KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25.0,LEGIT SNACK,Jakarta Barat,10,5.0
17,Kerupuk Seblak Rafael 100g / Sebring / Kerupuk Mawar Pedas Daun Jeruk ,9.999,vieka mart official,Tangerang Selatan,15,5.0
18,Krupuk seblak mawar rafael pedas 500gr,20.0,Markas Makaroni,Kab. Bekasi,100,4.9
19,Krupuk seblak mawar rafael pedas 250gram,12.5,Markas Makaroni,Kab. Bekasi,80,4.6
20,Seblak Instan Komplit Pedas Gurih Nikmat,5.999,Baso Aci Ayang,Kab. Garut,2000,4.9
21,KERUPUK JABLAY/KERUPUK SEBLAK RASA PEDAS BERAT 250 GRAM,11.5,aurel prima snack,Jakarta Barat,6,4.5
22,Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll - Putih,11.0,Distributor-Jaya,Tangerang,100,4.9
23,Kerupuk seblak pedas mawar daun jeruk (kerupuk rafael) 450gr,17.0,snackmartbdg,Kab. Subang,0,0.0
24,Seblak Tulang Rangu Nyai Mercon,21.0,Jajanan Hits (JS),Tangerang Selatan,25,5.0
25,"KERUPUK BAWANG ANEKA WARNA KRUPUK SEBLAK MENTAH WARNA WARNI - Mawar Warna, 500 gram",12.5,BociKakang,Jakarta Selatan,250,4.8
26,"KERUPUK SEBLAK MENTAH ANEKA WARNA - Mawar Warna, 500 gram",11.5,jajanangarut19,Jakarta Selatan,250,4.9
27,Kerupuk merah 1Kg mentah untuk nasi uduk bubur ayam bahan seblak murah,24.0,Bosmart99,Jakarta Selatan,250,4.9
28,Bumbu Seblak 200 g Dengan Kerupuk,34.98,MSH Rempah,Jakarta Selatan,70,5.0
29,KERUPUK SEBLAK SAMBAL KRUPUK KERITING KECIL Mentah Krupuk,7.9,Iguazabest777,Kab. Tangerang,40,5.0
